Samples	B1	B2	B3	B4	C6	CH10	CH11	CH12	CH13	CH14	CH15	CH16	CH17	CH1Hope	CH2Bambari	CH3Maja	CH4Zira	CH6	CH7	CH8	CH9	D.H.S	Day	G161	G6	H1	H10	H100	H12	H2	H3	H4	H5	H6	H7	H9	HA	HB	Jab	Jab2	K1	K2	K3	K4	K5	K6	M1	M157	M158	M159	M2	M255	M3	M4	M45	M49	M5	M7	MH10	MH2	MH3	MH4	MH5	MH6	MH7	MH8	MH9	MK	Nne	PA	Sam2	Samson	SCH2	Scho2	Shorder	T1	X1	X1_Mata	X10	X10_Sopo	X102M	X11	X11A2	X12	X12_Makumba	X121B	X1220	X13	X14	X15	X157	X16	X16Susa	X17_Mayele	X18	X18Lungu	X19	X1FECOB	X2	X20	X21	X21Mapoki	X22	X22_Susa	X23	X23Mongali7516	X24	X24_Mongali	X249M	X25	X25_Mayele	X251M	X253M	X28Wiya	X29	X2FecJUDY	X3	X3_Mama	X30	X30_Duma	X31	X32	X33_Didon	X34_Boto	X35	X35_Ngombi	X36_Molongo	X37_Ngonduma	X38_Ito	X39_Iyiki	X4_Mio	X40_Epessekele	X41_Francois	X42_Ndidje	X43_Wala	X44_Zulia	X45_Maki	X46_Singa	X47_Mbusa	X49_Bonango	X4FecTEA	X50_Bajungo	X51_Malambo	X52_Lindaki	X53_Yambi	X54_Manoi	X55_Luma	X56_Adamou	X57_Yama	X58_Abuya	X59_Abeni	X5Malui	X6_samba	X60_Omer	X7_Tembo	X87M
5a6c87d6a4eb5e114959f6192f29b641	0	0	0	0	2.146873966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.744445076	0.888758093	2.81343006	0	0	0	0.055490816	0	1.106183412	0	0	0	0	0	0	0	0	0	1.583610188	0	1.371115174	0	6.605497743	0	0	0.271842808	0.648810514	0	0	0	0	0	0	0	0	0	0	0.008502196	0	0	0	0	0	0	0	0	0	0.321984188	0	3.483220894	0	0.327551209	3.265401551	0	1.626652391	0	0	0	1.004700563	2.172846429	3.654143078	0	5.309953075	0	0	0	0	0	0	0.620948688	2.438475728	0	0	0	0	0	0	0	0	1.955129178	0	0	3.344508301	7.935853851	0	0	0	1.265468783	0	0	0	0.019775222	0	0	0	0	0	0	0.223457881	0	0.029198501	0	0	0	0	0	0	0	0	0	1.002920197	0	0	0	0	0	0	0.008997661	0	0	0	0	0	0	0	0	0
40874d61006874f7c87d904707d320d9	0.022835221	0.025294043	0.054379491	0.034540823	0.102547139	0	0.123597642	0.673103704	0	0	0.049926579	0	0	0	0	0	0	0.029178977	0	0.034456619	0	0	0	0.350109409	0.945532557	0.019581926	0	0.041351607	0	0.039779508	0.417892878	0.013950893	0.035990642	0.292207792	0.317230632	0	0	0.112147627	0	0	0	0.097009574	0.24945259	0.084907663	0.18053504	0	0	0	0	0	0.031592725	0	0.039724576	0.024417788	0	0	0	0	0.056107277	0	0	0	0	0	0	0	0	0.100699597	0	0	0	0	0.02133485	0	0	0.020279275	0	0	0	0.234208411	0	0	0	0	0.233508465	0	0.058163689	0	0.045559683	0	0.016315875	0.251914053	0	0.184124386	6.125293178	0	0.634773185	0	0	0.058487425	1.995601531	0	1.003809328	0	1.832460733	0.020732755	1.876257196	0.060083595	0	1.124276034	0	0	0	0	4.784664923	0	0.800531357	0.109567599	0.718264439	0	1.153554596	0.42517516	0	0	1.137197359	0.527113622	1.196819758	1.216026607	5.26950552	2.131490583	0.243835685	2.500779059	2.773896746	2.790104565	2.349479789	2.177212054	0.495091046	2.564434659	1.21372414	1.692278233	0	3.606402377	0.801988933	0.286391699	0.867447877	0.149692596	0.377901746	0.414714921	3.343579449	0.32800209	0.139829261	0	0.251853925	3.162629758	0	0
9acb555d3c5dd77e9035a661e7ad1bb6	0	0	0.031073995	0	0	0.128815257	5.633200228	8.253644044	0.884955752	2.497876805	3.465491924	2.075307568	2.570368359	0	0	0	1.040742235	0.543458438	0.372104691	2.284473847	1.16482485	0	0	0	0	0	0.606276748	0.047258979	0	0	0.382577987	0	0	0.038961039	0	0	0.049897087	0.081561911	0	0	0	0	0	0	0	0	0	0.282392027	0	0	0	0.059676998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116599534	0	0	0	0	0	0	0	0	0	0	0.066595246	0	0	0.124693138	0.039401103	0	0	0.499760389	0.348982135	0	0	0	0	0	0	0	2.012304973	0	0.892811065	0	0	0.967292032	2.256251527	0	2.440028827	0	1.795647906	0	0.326004023	0.015673981	0.12447251	0.47696559	0	0	0.061811064	0	0.593680821	0.046655392	0	0	0.703605981	0	1.209584391	0.197616624	0.04239983	0	0.212765957	0.396196513	0.452507824	2.707478044	2.421374896	2.238551754	0	2.033343721	1.03595161	0.331548074	3.492239468	0.136269318	0.339850634	1.30812071	0.336944314	1.079515534	0	2.356993314	0.068169059	0.453062278	0.03804596	1.029136594	0.116969588	0.208849241	0.802960918	0.153841688	0.036797174	0	0	0.799307958	0	2.682598255
f13b7ca216600d3cc3b0e6a56ef0e09b	0.301424918	0.297205008	0.178675471	0.505159535	0.889844525	0	0	0	0	0	0	0	0	0.44139284	0.134731169	0.447231789	0	0	0	0	0	0	0	0	0	1.086796886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.728279387	0.822472479	0.368635494	1.979409892	0	0.420035229	1.615414558	0	0	0	6.250846234	0	1.037252825	1.895430821	0	0	1.423470826	7.973607174	0.100993099	2.238661772	0.671026054	1.233229832	0.823086743	2.882442971	3.581389452	0.474056516	2.468471022	0	0	0	0	0	0	0	0	0	1.323004336	0	0.156354055	2.572796868	0	1.348244554	0	0.560062595	0.015567231	0	0	1.173346729	0.336440737	0.26669162	0	0.138305755	0	0	0	0	0	0	1.56903132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.80824634	1.919177795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.993258196	0	0	0	0	0	0	0	0	0	0	0	1.035399468	0	0.616581294	0
86bb7a1e7996c5c68d5abef04f480abc	0	0	0	0	2.471055243	0	1.22646891	0	0	0.954188939	0	0	0.877907503	3.398724865	5.692391899	0.884182388	0.020169423	0.160484371	0	0.058576252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.530856005	1.062402147	0	0	0	0	0.114885935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.022188217	0	1.887830443	0	0	4.629232748	0.275807723	2.553226537	0.03502627	0	0	0.032293947	5.446134436	3.902119497	0	3.472462336	0	0	0	0	0	3.631752473	0.07572545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.934157579	5.299587499	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012440596	0	0	0	0	0	0	0	0	0	3.628222943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ec3c4e6dd84442b5789313cc9d9e5cfb	0	0	0	0	0.019847833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.340280644	4.115050548	0	0.023836955	0	0	0	0.112463938	0	0	0	0	0	0	0.521613673	0	0	5.839416058	3.712815925	0	0	0	0	0	0	0	0.033222591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.264320831	3.321614741	4.361210877	4.721965948	11.26124524	6.225174188	4.495123561	10.88417637	0	0	0	0	0	0	0.482663515	0	0.077836155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011976765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e3cdda80619a877c71570fe8812129f9	1.018450859	1.429113444	0.668090891	1.17438798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93361408	0.460175258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.613287905	0.598928677	0.842595416	0.578433454	0	1.083961881	1.255352277	0	0	0	0.789818116	0	1.319738701	0.665384733	0	0	1.160387109	1.254588541	0.34225439	0.353327629	0.708685679	0.667877439	0.977625479	0.772538445	0.421526369	0	0.478957064	0	0	0	0	0	0	0	0	0	0	2.034741876	0	1.090642151	0	0	0	0	1.004086398	0	0	0	0	0	0.923478545	0	0.781081829	0.426213857	0	2.782305006	0	0	0	0	0	2.145202481	0	1.851130164	0	2.271717561	0	1.209508882	0	0	1.00890364	0	0	3.526945866	0	0	0	1.099589122	0	1.776435438	0	0	0	0	0	0	0	0	0	0	2.286581573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.776384268	0.839513082	0	1.482957061	0
7f2586d62e934bba3479c6eca141a595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.060744508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04737264	0	0	0	0	0	0	0	0	0	0	0	0	0	0.746559969	0	1.454189534	0	0	0	0	4.389959136	0	0	0	0	0	1.018110622	0	2.835265537	1.411620295	0	1.691889794	0	0	0	0	0	2.874863189	0	1.627045986	0	1.353552706	0	2.36415883	0	0	1.820241294	0	0	4.45402878	0	0	0	2.383095285	0	1.273057937	0	0	0	0	0	0	0	0	0	0	3.000671792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.083525296	3.102700434	0	2.19123506	0
67291fcee109ab8a23a8be4925084a4a	0	0	0	0	0	0	0.30424035	2.163216043	2.65023398	9.227156917	11.01908957	14.26204383	10.30409992	0	0	0	5.022186365	1.630375315	0.589514173	5.182275515	0.392541708	0	0	0.043763676	0.007945652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213359593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01747824	0	0	0	0	0.031134462	0.068460327	0.099709182	0	0	0	0	0	0	0.027277687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00845809	0	0	0	0	0	0	0	0	0	0	0	0.010869171	0	0	0	0	0.007042419	0	0	0	0	0	0.014513367	0	0	0.010493914	0	0	0
c2a2d50669235f126fad4298df409c2c	0.342528316	1.283672695	1.025441833	1.455032166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.252592269	0.585010036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.785349233	1.691340841	0.814878461	1.74060709	0	0.189693329	1.853834177	0	0	0	0.203096087	0	2.233403955	1.034703782	0	0	1.883867331	0.232331211	0.774280424	0.78946642	0.588859598	0.260706544	0.9171538	0.539319292	0.665567951	0.485167216	1.60691512	0	0	0	0	0	0	0	0	0	0	1.551673661	0	1.034711784	0	0	0	0	1.183109554	0	0	0	0	0	1.957905042	0	1.33767951	0.910392799	0	1.036088475	0	0	0	0	0	1.386355345	0	0.772928033	0	0.51831887	0	1.71630094	0	0	0.55845319	0	0	0.604619291	0	0	0	0.540011739	0	0.500129904	0	0	0	0	0	0	0	0	0	0	0.636958523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.834997014	1.72449979	0	1.188895213	0
