Sample	Group	Trichoderma	Aureobasidium	Neopestalotiopsis	Saccharomycopsis	Talaromyces	Fusarium	Ophionectria	Nigrospora	Unassigned Capnodiales	Ganoderma	Unassigned Sordariomycetes	Unassigned Pleosporale	Unassigned Pleosporale2	Hanseniaspora	Lactarius	Lasiodiplodia	Candida	Pichia	Schwanniomyces	Unassigned Ascomycota	Sordaria	Wickerhamomyces	Trichosporon	Unassigned Didymosphaeriaceae	Cladosporium	Saccharomyces	Aspergillus	Malassezia	Penicillium	Unassigned Saccharomycetales
CH16	Captive Chimps-Ostrava	0.65389208	0.11940638	0	0	0.13077842	1.12583158	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64252004	1.79678171	0	2.44498778	0	0	0	0.471939501	1.0064252	9.00665264	0.02274407
CH17	Captive Chimps-Ostrava	0	0	0	0	0	1.700304119	0	0	0	0	0	0	0	0	0	0	0	0.698092342	0	0	0.44926735	0.248824993	0	0	0.96765275	0	0.262648604	1.89383467	15.15758916	0
CH6	Captive Chimps-Ostrava	0.36627353	0.75452348	0	0	3.58948062	0	0	0	0	0	0	0	0	0.080580177	0	0	0	0	0	0	5.91165482	14.24804044	1.71416013	0	0	0	0.080580177	1.098820599	21.22921398	0.06592924
CH7	Captive Chimps-Ostrava	0	9.91258641	0	0	0	0	0	0	0	0	0	0.35422499	0	0	0	0	0	0	0	0	0.09712621	9.781180369	0	0	4.15357367	0	1.565445924	2.913786208	0	0
CH8	Captive Chimps-Ostrava	0.5617109	0.1855192	0	0	3.83406339	0.15459933	0	0	0	0.29373873	0.14944602	0	0	0.561710899	0	0	0	0	0	0	3.1847462	10.82710642	0.80391652	0	0.94305591	0	0.05153311	0.15459933	22.97861376	0
CH9	Captive Chimps-Ostrava	0.63782447	1.47836836	0	0	0.67243511	0.543881335	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46477132	4.32138443	0.652657602	1.04326329	0	0.29666255	0.0197775	4.306551298	1.166872682	8.815822	0
D.H.S	Captive Western Lowland Gorilla	0	0	0	0	0.20755859	0	0	0	0	0	0.46700683	0.1037793	0	0	0	0	0	0	0	0.24215169	14.32154285	0	2.00639972	0	0	0	1.599930814	0.043241373	0.34593099	0
Day	Captive Western Lowland Gorilla	0	0	0	0	0	0	0	0	0	0	1.26396648	0.33519553	0	0	0.02094972	0	0	0	0	0.32821229	0.29329609	0	1.77374302	0	0.29329609	0.06284916	2.19972067	0	0.09078212	0
G161	Captive Western Lowland Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.15032528	0.058085502	67.58828996	0
G6	Captive Western Lowland Gorilla	0	0	0	0	0	0	65.37713711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02681864	0.01676165
Jab	Captive Western Lowland Gorilla	0	0	0	0	0	0	0	0.09075096	0	0	0.65794449	0.69575739	0	0	0	0	0.65038191	0	0	0.72600771	17.72668835	0	0	0	0	0	0	0.181501928	0	0
Jab2	Captive Western Lowland Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44625902	0	0	0	10.36840106	0	0	0.17090771	0.19939233	0	0.636156476	0.360805165	0	0.02848462
MK	Captive Western Lowland Gorilla	0	0	0	0	0.68259386	0.639931741	0.017064846	0	0	0	0	0	0	0	0	0	0	0.051194539	0	0.88737201	0	0	0	0	0	0	0	0	1.08361775	0.07679181
Nne	Captive Western Lowland Gorilla	0	0	0	0	0	0	0.034343608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025757706	0	0.91869151	0	0	0.291920666	0	0.94444921	0.08585902
PA	Captive Western Lowland Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.73240873	0	3.98735468	0	0	0	0.958596777	0.846420559	1.92739139	0
Sam2	Captive Western Lowland Gorilla	0	0	0	0	1.82088443	4.515050167	0	0	0	0	0	0.35302861	0	0	0	0	0.78037904	0	0	0.72463768	10.81382386	0	0	0	0	0	0	0	0.89186176	0.11148272
Samson	Captive Western Lowland Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99636804	0	0	1.08958838	26.48305085	0	0	0	0	0	0.537227603	0.930690073	0	0
SCH2	Captive Western Lowland Gorilla	0	0	0	0	0.02571884	0	0	0	0	0	0.13373798	0	0	0	0	0	0.47322669	0.241757111	0	0.30348233	16.29031428	0	0.80242786	0	0	0	0.678977419	0	0.61210843	0.03086261
Scho2	Captive Western Lowland Gorilla	1.8087408	0.17308524	0	0	0.07788836	0.15577672	0	1.78277802	0	0	0.66637819	0	0	0	0	0	0	0.034617049	0	0.50194721	0	0	5.25313717	0	0.19039377	0	1.315447858	0.46733016	1.28083081	0
Shorder	Captive Western Lowland Gorilla	0	0	0	0	0.9242931	0	0	0	0	0	0	0	0	0	0	0	0.60200669	0	0	0.34660991	5.27211919	0	3.89176041	0	0	3.05259957	1.349954393	2.949224688	0.71754333	0
T1	Captive Western Lowland Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47495021	33.87978142	0	0	0	0	0.05106991	0.03574894	2.405392983	1.37378071	0
X11A2	Captive Western Lowland Gorilla	0.0368392	0	0.20261558	0	0	0	0	0	0	0	0	0.11051759	0	0	0	0.11051759	0	0.313133174	0	0	0.0368392	0	0	0.0552588	0.07367839	4.51280162	0.110517591	40.79941057	0	1.60250507
X121B	Captive Western Lowland Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.6705151	0	0	0	0	0	9.114120782	0	0.06660746
X1220	Captive Western Lowland Gorilla	0	7.35460108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.77472821	0	0	0	0.01782214	0	11.51309927	0	0.05940712
C6	Chimps	0	0	0.075	0	0	0	0	0	1.925	0	0	13.35	0	0.375	0	0.25	0	0	0.15	0.125	0	0	0	36.175	0	0	0	0	17.275	0.275
X1	Chimps	0.13216932	1.13039546	2.23992209	0	0.21912281	1.088657786	0	2.02079928	0.281729331	0.1391256	1.07822337	0.80692845	1.9268895	0.386073528	0	3.43988035	0.10782234	0	0.11477862	2.00340858	0	27.21644465	0	1.03648569	2.90076867	0	0	0	0	0
X10	Chimps	0	0	0	0	7.15963082	0	0	0	6.668122986	0	0.0109224	10.48550052	7.89143138	0	0	3.99759707	0	0	0	6.72819617	0	0	0	9.78100595	3.78461034	0	0	0	1.62743706	0
X11	Chimps	0	1.9434629	0.46208209	0	0	3.34329981	0	7.71042856	0.978526774	0	1.2865815	0	0	0	0	1.96158376	0	0	0	1.08725197	0	0.475672737	0.36694754	2.53692126	6.46008879	0	0	0.063423032	0.64782097	0
X12	Chimps	0	0.33109008	1.66984561	0	0	0.53982078	0	3.54842192	0.395868572	0.33828769	1.28477346	0.24831756	0.46424587	3.537625508	0	1.14801886	0	0	0	1.16961169	0	1.072443949	0	0.90689891	2.94022385	0	0	2.191672365	0.99686904	0
X13	Chimps	0.48790659	0.05838198	2.70642202	0	0	0.663052544	0.266889074	3.55713094	1.70558799	0.4587156	1.21351126	0.9382819	0.09591326	0.308590492	0	2.22685571	0	0	0.02502085	2.59799833	0	4.115929942	0	1.73477898	3.75312761	0	0	0.900750626	0.55045872	0
X14	Chimps	0.27448244	1.00488486	2.26564317	0	0.09304489	0.255873459	0	2.5494301	1.59106769	1.59106769	0.46522447	0.53966039	0.69783671	0.065131426	0	1.64689463	0.05117469	0	0	2.12607583	0	26.27122587	0	0.11630612	4.22423819	0	0	0.116306118	0.20469877	0.13026285
X15	Chimps	0.07225869	0.74065153	0.99355693	0	0.13849582	1.216354549	0.078280243	8.57469742	0.036129343	0.31312097	0.7165653	1.29463479	0.7165653	0.23484073	0	1.21033299	0.17462516	0	0	0.43957367	0.30709942	2.240019269	0	0.82495333	3.99229241	0	0.138495815	0	0.22279762	0
