ITS	Kingdom	Phylum	Class	Order	Family	Genus	Species
e6a1f013737a0c34bbc504b4377bf0ee	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
90b68a14dd382f2547fded77f0ab5f42	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Simplicillium	
85a8502c1faf8a0e682c1c689fbda1c8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Alloconiothyrium	Alloconiothyrium_aptrootii
ab6ef043e067f64968de1a39b1af27e4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	unidentified
2d342991659d674d5d49635e395c6e3a	Fungi	Ascomycota	Sordariomycetes	Sordariales			
b9696e4173211cbb79bfa4c491885670	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	unidentified
37bf275e4e9dafa6fa2637654a30da8e	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	Saccharomycopsis	Saccharomycopsis_schoenii
3af8eb625625d9a7af59ca525dd05a8c	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	
2ca211110840b9953578cd485c84b742	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Priceomyces	Priceomyces_fermenticarens
5c7ce4faa2e2fb8061a82052fc67ef7f	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_norvegensis
2b77bdf041a9ba6ded09e39e78dbfa5f	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	
51633d860f5ac5892705d455e1fe5973	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	Saccharomycopsis	Saccharomycopsis_vini
7485ad804cb1402fb2e5a8ba4568fce0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces_rouxii
121ce4cb34a821cbfed89ea7fe14a91e	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
287248ad0a3e1006fb1c5750234bc8de	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_brocae
3c055a0157cf4304e236f6a155421aae	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces	Schwanniomyces_occidentalis
40634418d48d08abfc42b98676bea2b4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_silvicultrix
